name,ontour,playcount,listeners,genre1,genre2,genre3,sex,first_album,age (since 1st album)
Pierce The Veil,0,81849436,1131032,post hardcore,emocore,emo,mb,2007.0,16.0
Ed Sheeran,1,179979468,3125873,acoustic,british,singer songwriter,m,2011.0,12.0
Nicki Minaj,1,183090599,3609036,hip hop,rap,rnb,f,2010.0,13.0
Muse,0,418280263,5015125,alternative rock,rock,alternative,mb,1999.0,24.0
Black Sabbath,0,142624552,3322344,heavy metal,hard rock,classic rock,mb,1970.0,53.0
aespa,1,82200071,615862,k pop,pop,hyperpop,fb,2021.0,2.0
Depeche Mode,1,219136579,3478486,electronic,new wave,80s,mb,1981.0,42.0
Elton John,0,105311040,3960105,pop,classic rock,singer songwriter,m,1969.0,54.0
ABBA,1,105248686,2999234,pop,disco,70s,mfb,1973.0,50.0
Big Thief,0,44149583,770055,indie rock,folk,indie folk,mfb,2016.0,7.0
Gwen Stefani,1,52033052,3193923,pop,dance,rock,f,2004.0,19.0
Laufey,1,39011152,714538,jazz,pop,soul,f,2022.0,1.0
Young Thug,0,99877669,1230730,trap,hip hop,rap,m,2019.0,4.0
Amy Winehouse,0,132703596,3449363,soul,jazz,british,f,2003.0,20.0
Miguel,1,41001567,1806385,rnb,soul,hip hop,m,2010.0,13.0
Arctic Monkeys,0,590519619,5351983,indie rock,indie,british,mb,2006.0,17.0
The Weeknd,0,561111265,3622518,rnb,electronic,dubstep,m,2013.0,10.0
Nirvana,0,357002993,5808751,grunge,rock,alternative,mb,1989.0,34.0
System of a Down,0,313341185,4449587,metal,alternative metal,rock,mb,1998.0,25.0
Nelly Furtado,0,68359672,3402839,pop,folk,singer songwriter,f,2000.0,23.0
Drake,1,585984507,5271101,hip hop,rap,rnb,m,2010.0,13.0
Glass Animals,0,78441487,1760248,electronic,trip hop,british,mb,2014.0,9.0
Kylie Minogue,1,117598683,2684649,pop,dance,electronic,f,1988.0,35.0
The Strokes,0,298306959,4459850,indie rock,rock,indie,mb,2001.0,22.0
Metallica,0,375554594,3910517,thrash metal,metal,heavy metal,mb,1983.0,40.0
Aminé,0,43979981,1080343,rap,hip hop,trap,m,2017.0,6.0
Lana Del Rey,0,800159312,3757731,indie,indie pop,pop,f,2010.0,13.0
Kelly Clarkson,0,87991147,3354748,pop,pop rock,rock,f,2003.0,20.0
Michael Jackson,0,204111172,5046989,pop,80s,dance,m,1972.0,51.0
Zach Bryan,1,31333757,468063,country,americana,singer songwriter,m,2019.0,4.0
Snoop Dogg,0,58619042,3477215,hip hop,rap,gangsta rap,m,1993.0,30.0
BROCKHAMPTON,0,147132525,1225380,hip hop,rap,pop rap,mb,2017.0,6.0
Lil Baby,0,87543405,991768,hip hop,rap,trap,m,2018.0,5.0
VACATIONS,1,25643220,946936,indie,dream pop,indie rock,mb,2018.0,5.0
Hozier,1,107696165,2093294,blues,indie,soul,m,2014.0,9.0
Wham!,0,23164876,2224127,80s,pop,british,mb,1983.0,40.0
Ariana Grande,0,482542727,2932667,pop,rnb,ariana grande,f,2013.0,10.0
Cardi B,1,46216748,1541688,hip hop,rap,trap,f,2018.0,5.0
Suki Waterhouse,1,12832400,712763,electronic,indie pop,pop,f,2022.0,1.0
Camila Cabello,0,71130189,1376742,pop,cuba,cuban,f,2018.0,5.0
Tory Lanez,0,55619530,1136364,rnb,hip hop,rap,m,2016.0,7.0
One Direction,0,178163137,2263762,pop,british,boyband,mb,2011.0,12.0
Surf Curse,0,21598429,1017983,lo fi,surf,garage rock,mb,2013.0,10.0
The 1975,1,176306097,1893257,indie,indie rock,british,mb,2013.0,10.0
Jeff Buckley,0,62880395,2155560,singer songwriter,rock,alternative,m,1994.0,29.0
a-ha,0,41452109,2460139,80s,pop,new wave,mb,1983.0,40.0
Bon Iver,0,172381011,2808901,folk,indie,singer songwriter,mfb,2007.0,16.0
Katy Perry,0,265976829,5406637,pop,pop rock,indie,f,2001.0,22.0
The Doors,0,169881340,3903565,classic rock,psychedelic rock,rock,mb,1967.0,56.0
Cigarettes After Sex,0,107554366,1565437,dream pop,shoegaze,lo fi,mfb,2017.0,6.0
Madvillain,0,75662650,1406586,hip hop,underground hip hop,rap,mb,2004.0,19.0
Lil Wayne,0,39840909,1216021,rap,hip hop,gangsta rap,m,1999.0,24.0
d4vd,1,27780302,969312,pop,rock,rnb,m,2023.0,0.0
Sia,0,122477518,3287697,chillout,indie,trip hop,f,1997.0,26.0
Pinegrove,0,20898323,583557,indie rock,alt country,indie,mfb,2012.0,11.0
Gucci Mane,0,39565707,2065701,hip hop,rap,trap,m,2005.0,18.0
Timbaland,0,41314995,2649880,hip hop,rnb,rap,m,1998.0,25.0
Joji,0,203101307,1897038,lo fi,rnb,hip hop,m,2018.0,5.0
Pitbull,1,58290687,3130613,hip hop,rap,reggaeton,m,2004.0,19.0
David Bowie,0,286569515,4425264,rock,glam rock,classic rock,m,1967.0,56.0
Eminem,0,372779519,6220579,rap,hip hop,pop,m,1996.0,27.0
Steve Lacy,1,134084517,1800139,jazz,free jazz,saxophone,m,2019.0,4.0
Lil Nas X,0,88177700,1885911,hip hop,rap,country rap,m,2021.0,2.0
Troye Sivan,0,92223546,1610002,pop,indie pop,male vocalists,m,2015.0,8.0
Car Seat Headrest,0,91321524,882341,lo fi,indie,indie rock,mfb,2010.0,13.0
Red Velvet,1,140001663,841109,k pop,pop,na,fb,2015.0,8.0
Mitski,1,290576137,1772816,indie rock,indie,indie pop,f,2012.0,11.0
The Kid Laroi,0,74432430,1327248,rap,hip hop,emo rap,m,2023.0,0.0
SZA,1,261573748,2179599,rnb,soul,electronic,f,2017.0,6.0
Mac DeMarco,0,164583033,1958513,lo fi,indie,experimental,m,2012.0,11.0
Calvin Harris,0,132952089,3702762,electronic,dance,electro,m,2007.0,16.0
Joy Division,0,137880125,2709035,post punk,new wave,80s,mb,1979.0,44.0
